Year,Lg,Champion,Runner-Up,Conn Smythe
2023,NHL,Vegas Golden Knights,Florida Panthers,Jonathan Marchessault
2022,NHL,Colorado Avalanche,Tampa Bay Lightning,Cale Makar
2021,NHL,Tampa Bay Lightning,Montreal Canadiens,Andrei Vasilevskiy
2020,NHL,Tampa Bay Lightning,Dallas Stars,Victor Hedman
2019,NHL,St. Louis Blues,Boston Bruins,Ryan O'Reilly
2018,NHL,Washington Capitals,Vegas Golden Knights,Alex Ovechkin
2017,NHL,Pittsburgh Penguins,Nashville Predators,Sidney Crosby
2016,NHL,Pittsburgh Penguins,San Jose Sharks,Sidney Crosby
2015,NHL,Chicago Blackhawks,Tampa Bay Lightning,Duncan Keith
2014,NHL,Los Angeles Kings,New York Rangers,Justin Williams
2013,NHL,Chicago Blackhawks,Boston Bruins,Patrick Kane
2012,NHL,Los Angeles Kings,New Jersey Devils,Jonathan Quick
2011,NHL,Boston Bruins,Vancouver Canucks,Tim Thomas
2010,NHL,Chicago Blackhawks,Philadelphia Flyers,Jonathan Toews
2009,NHL,Pittsburgh Penguins,Detroit Red Wings,Evgeni Malkin
2008,NHL,Detroit Red Wings,Pittsburgh Penguins,Henrik Zetterberg
2007,NHL,Anaheim Ducks,Ottawa Senators,Scott Niedermayer
2006,NHL,Carolina Hurricanes,Edmonton Oilers,Cam Ward
2005,NHL,Season canceled,,
2004,NHL,Tampa Bay Lightning,Calgary Flames,Brad Richards
2003,NHL,New Jersey Devils,Mighty Ducks of Anaheim,Jean-Sébastien Giguère
2002,NHL,Detroit Red Wings,Carolina Hurricanes,Nicklas Lidström
2001,NHL,Colorado Avalanche,New Jersey Devils,Patrick Roy
2000,NHL,New Jersey Devils,Dallas Stars,Scott Stevens
1999,NHL,Dallas Stars,Buffalo Sabres,Joe Nieuwendyk
1998,NHL,Detroit Red Wings,Washington Capitals,Steve Yzerman
1997,NHL,Detroit Red Wings,Philadelphia Flyers,Mike Vernon
1996,NHL,Colorado Avalanche,Florida Panthers,Joe Sakic
1995,NHL,New Jersey Devils,Detroit Red Wings,Claude Lemieux
1994,NHL,New York Rangers,Vancouver Canucks,Brian Leetch
1993,NHL,Montreal Canadiens,Los Angeles Kings,Patrick Roy
1992,NHL,Pittsburgh Penguins,Chicago Blackhawks,Mario Lemieux
1991,NHL,Pittsburgh Penguins,Minnesota North Stars,Mario Lemieux
1990,NHL,Edmonton Oilers,Boston Bruins,Bill Ranford
1989,NHL,Calgary Flames,Montreal Canadiens,Al MacInnis
1988,NHL,Edmonton Oilers,Boston Bruins,Wayne Gretzky
1987,NHL,Edmonton Oilers,Philadelphia Flyers,Ron Hextall
1986,NHL,Montreal Canadiens,Calgary Flames,Patrick Roy
1985,NHL,Edmonton Oilers,Philadelphia Flyers,Wayne Gretzky
1984,NHL,Edmonton Oilers,New York Islanders,Mark Messier
1983,NHL,New York Islanders,Edmonton Oilers,Billy Smith
1982,NHL,New York Islanders,Vancouver Canucks,Mike Bossy
1981,NHL,New York Islanders,Minnesota North Stars,Butch Goring
1980,NHL,New York Islanders,Philadelphia Flyers,Bryan Trottier
1979,NHL,Montreal Canadiens,New York Rangers,Bob Gainey
1979,WHA,Winnipeg Jets,Edmonton Oilers,
1978,NHL,Montreal Canadiens,Boston Bruins,Larry Robinson
1978,WHA,Winnipeg Jets,New England Whalers,
1977,NHL,Montreal Canadiens,Boston Bruins,Guy Lafleur
1977,WHA,Quebec Nordiques,Winnipeg Jets,
1976,NHL,Montreal Canadiens,Philadelphia Flyers,Reggie Leach
1976,WHA,Winnipeg Jets,Houston Aeros,
1975,NHL,Philadelphia Flyers,Buffalo Sabres,Bernie Parent
1975,WHA,Houston Aeros,Quebec Nordiques,
1974,NHL,Philadelphia Flyers,Boston Bruins,Bernie Parent
1974,WHA,Houston Aeros,Chicago Cougars,
1973,NHL,Montreal Canadiens,Chicago Black Hawks,Yvan Cournoyer
1973,WHA,New England Whalers,Winnipeg Jets,
1972,NHL,Boston Bruins,New York Rangers,Bobby Orr
1971,NHL,Montreal Canadiens,Chicago Black Hawks,Ken Dryden
1970,NHL,Boston Bruins,St. Louis Blues,Bobby Orr
1969,NHL,Montreal Canadiens,St. Louis Blues,Serge Savard
1968,NHL,Montreal Canadiens,St. Louis Blues,Glenn Hall
1967,NHL,Toronto Maple Leafs,Montreal Canadiens,Dave Keon
1966,NHL,Montreal Canadiens,Detroit Red Wings,Roger Crozier
1965,NHL,Montreal Canadiens,Chicago Black Hawks,Jean Béliveau
1964,NHL,Toronto Maple Leafs,Detroit Red Wings,
1963,NHL,Toronto Maple Leafs,Detroit Red Wings,
1962,NHL,Toronto Maple Leafs,Chicago Black Hawks,
1961,NHL,Chicago Black Hawks,Detroit Red Wings,
1960,NHL,Montreal Canadiens,Toronto Maple Leafs,
1959,NHL,Montreal Canadiens,Toronto Maple Leafs,
1958,NHL,Montreal Canadiens,Boston Bruins,
1957,NHL,Montreal Canadiens,Boston Bruins,
1956,NHL,Montreal Canadiens,Detroit Red Wings,
1955,NHL,Detroit Red Wings,Montreal Canadiens,
1954,NHL,Detroit Red Wings,Montreal Canadiens,
1953,NHL,Montreal Canadiens,Boston Bruins,
1952,NHL,Detroit Red Wings,Montreal Canadiens,
1951,NHL,Toronto Maple Leafs,Montreal Canadiens,
1950,NHL,Detroit Red Wings,New York Rangers,
1949,NHL,Toronto Maple Leafs,Detroit Red Wings,
1948,NHL,Toronto Maple Leafs,Detroit Red Wings,
1947,NHL,Toronto Maple Leafs,Montreal Canadiens,
1946,NHL,Montreal Canadiens,Boston Bruins,
1945,NHL,Toronto Maple Leafs,Detroit Red Wings,
1944,NHL,Montreal Canadiens,Chicago Black Hawks,
1943,NHL,Detroit Red Wings,Boston Bruins,
1942,NHL,Toronto Maple Leafs,Detroit Red Wings,
1941,NHL,Boston Bruins,Detroit Red Wings,
1940,NHL,New York Rangers,Toronto Maple Leafs,
1939,NHL,Boston Bruins,Toronto Maple Leafs,
1938,NHL,Chicago Black Hawks,Toronto Maple Leafs,
1937,NHL,Detroit Red Wings,New York Rangers,
1936,NHL,Detroit Red Wings,Toronto Maple Leafs,
1935,NHL,Montreal Maroons,Toronto Maple Leafs,
1934,NHL,Chicago Black Hawks,Detroit Red Wings,
1933,NHL,New York Rangers,Toronto Maple Leafs,
1932,NHL,Toronto Maple Leafs,New York Rangers,
1931,NHL,Montreal Canadiens,Chicago Black Hawks,
1930,NHL,Montreal Canadiens,Boston Bruins,
1929,NHL,Boston Bruins,New York Rangers,
1928,NHL,New York Rangers,Montreal Maroons,
1927,NHL,Ottawa Senators,Boston Bruins,
1926,NHL,Montreal Maroons,Ottawa Senators,
1925,NHL,Montreal Canadiens,Hamilton Tigers,
1924,NHL,Montreal Canadiens,Ottawa Senators,
1923,NHL,Ottawa Senators,Montreal Canadiens,
1922,NHL,Toronto St. Patricks,Ottawa Senators,
1921,NHL,Ottawa Senators,Toronto St. Patricks,
1920,NHL,"No NHL playoffs.Ottawa represented NHL,def. PCHA champ Seattle for Stanley Cup.",,
1919,NHL,Montreal Canadiens,Ottawa Senators,
1918,NHL,Toronto Arenas,Montreal Canadiens,
